id,Reviews,ID,AspectTerms,Opinions,Polarities,Categories,Review
1,最近太忙一直没有空来评价，东西已试过是正品，擦在脸上勾称白嫩，是个不错的商品,1.0,_,是正品,中性,真伪,最 近 太 忙 一 直 没 有 空 来 评 价 ， 东 西 已 试 过 是 正 品 ， 擦 在 脸 上 勾 称 白 嫩 ， 是 个 不 错 的 商 品
1,最近太忙一直没有空来评价，东西已试过是正品，擦在脸上勾称白嫩，是个不错的商品,1.0,_,勾称,负面,使用体验,最 近 太 忙 一 直 没 有 空 来 评 价 ， 东 西 已 试 过 是 正 品 ， 擦 在 脸 上 勾 称 白 嫩 ， 是 个 不 错 的 商 品
1,最近太忙一直没有空来评价，东西已试过是正品，擦在脸上勾称白嫩，是个不错的商品,1.0,_,白嫩,正面,使用体验,最 近 太 忙 一 直 没 有 空 来 评 价 ， 东 西 已 试 过 是 正 品 ， 擦 在 脸 上 勾 称 白 嫩 ， 是 个 不 错 的 商 品
1,最近太忙一直没有空来评价，东西已试过是正品，擦在脸上勾称白嫩，是个不错的商品,1.0,_,不错的,正面,整体,最 近 太 忙 一 直 没 有 空 来 评 价 ， 东 西 已 试 过 是 正 品 ， 擦 在 脸 上 勾 称 白 嫩 ， 是 个 不 错 的 商 品
2,这款气垫，不是我喜欢的，因为颜色明显，还有让人家一眼就看出,2.0,_,不是,负面,整体,这 款 气 垫 ， 不 是 我 喜 欢 的 ， 因 为 颜 色 明 显 ， 还 有 让 人 家 一 眼 就 看 出
2,这款气垫，不是我喜欢的，因为颜色明显，还有让人家一眼就看出,2.0,_,喜欢,正面,整体,这 款 气 垫 ， 不 是 我 喜 欢 的 ， 因 为 颜 色 明 显 ， 还 有 让 人 家 一 眼 就 看 出
2,这款气垫，不是我喜欢的，因为颜色明显，还有让人家一眼就看出,2.0,颜色,明显,正面,其他,这 款 气 垫 ， 不 是 我 喜 欢 的 ， 因 为 颜 色 明 显 ， 还 有 让 人 家 一 眼 就 看 出
3,今天才用上，感觉还是挺细腻的,3.0,_,挺细腻的,正面,使用体验,今 天 才 用 上 ， 感 觉 还 是 挺 细 腻 的
4,还行吧，拿到就开始使用了,4.0,_,还行吧,正面,整体,还 行 吧 ， 拿 到 就 开 始 使 用 了
5,十年前用过这个品牌的隔离霜，没想到现在又用上了，效果不错,5.0,_,不错,正面,整体,十 年 前 用 过 这 个 品 牌 的 隔 离 霜 ， 没 想 到 现 在 又 用 上 了 ， 效 果 不 错
6,很细腻的一款产品，贴合肤色，一下子提亮了肌肤，很好,6.0,_,很细腻,正面,整体,很 细 腻 的 一 款 产 品 ， 贴 合 肤 色 ， 一 下 子 提 亮 了 肌 肤 ， 很 好
6,很细腻的一款产品，贴合肤色，一下子提亮了肌肤，很好,6.0,_,贴合肤色,正面,功效,很 细 腻 的 一 款 产 品 ， 贴 合 肤 色 ， 一 下 子 提 亮 了 肌 肤 ， 很 好
6,很细腻的一款产品，贴合肤色，一下子提亮了肌肤，很好,6.0,_,提亮了肌肤,正面,功效,很 细 腻 的 一 款 产 品 ， 贴 合 肤 色 ， 一 下 子 提 亮 了 肌 肤 ， 很 好
6,很细腻的一款产品，贴合肤色，一下子提亮了肌肤，很好,6.0,_,很好,正面,整体,很 细 腻 的 一 款 产 品 ， 贴 合 肤 色 ， 一 下 子 提 亮 了 肌 肤 ， 很 好
7,特别好用，建议购买，很喜欢,7.0,_,特别好用,正面,整体,特 别 好 用 ， 建 议 购 买 ， 很 喜 欢
7,特别好用，建议购买，很喜欢,7.0,_,很喜欢,正面,整体,特 别 好 用 ， 建 议 购 买 ， 很 喜 欢
8,老客户了，好评先,8.0,_,好评,正面,整体,老 客 户 了 ， 好 评 先
9,购物愉快就选**，好东西，**购。第一次买这个护肤品，使用后感觉还可以，继续使用,9.0,_,还可以,正面,整体,购 物 愉 快 就 选 * * ， 好 东 西 ， * * 购 。 第 一 次 买 这 个 护 肤 品 ， 使 用 后 感 觉 还 可 以 ， 继 续 使 用
10,收到货就试了，不错。,10.0,_,不错,正面,整体,收 到 货 就 试 了 ， 不 错 。
11,不错，没有油腻的感觉，敷上很清爽，水润。不错，没有油腻的感觉，敷上很清爽，水润。,11.0,_,不错,正面,整体,不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。 不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。
11,不错，没有油腻的感觉，敷上很清爽，水润。不错，没有油腻的感觉，敷上很清爽，水润。,11.0,_,很清爽,正面,使用体验,不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。 不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。
11,不错，没有油腻的感觉，敷上很清爽，水润。不错，没有油腻的感觉，敷上很清爽，水润。,11.0,_,水润,正面,使用体验,不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。 不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。
11,不错，没有油腻的感觉，敷上很清爽，水润。不错，没有油腻的感觉，敷上很清爽，水润。,11.0,_,不错,正面,整体,不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。 不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。
11,不错，没有油腻的感觉，敷上很清爽，水润。不错，没有油腻的感觉，敷上很清爽，水润。,11.0,_,很清爽,正面,使用体验,不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。 不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。
11,不错，没有油腻的感觉，敷上很清爽，水润。不错，没有油腻的感觉，敷上很清爽，水润。,11.0,_,水润,正面,使用体验,不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。 不 错 ， 没 有 油 腻 的 感 觉 ， 敷 上 很 清 爽 ， 水 润 。
12,包装一般，看着还行。,12.0,包装,一般,中性,包装,包 装 一 般 ， 看 着 还 行 。
12,包装一般，看着还行。,12.0,_,还行,正面,整体,包 装 一 般 ， 看 着 还 行 。
13,质量一般般吧。,13.0,_,一般般,中性,整体,质 量 一 般 般 吧 。
14,中午拿回来忙完就用了一片，个人感觉不错。,14.0,_,不错,正面,整体,中 午 拿 回 来 忙 完 就 用 了 一 片 ， 个 人 感 觉 不 错 。
15,物流速度快，但是包装质量是怎么回事？盖子裂了，还掉了一小块在盒子里，这一点让人很不爽,15.0,物流速度,快,正面,物流,物 流 速 度 快 ， 但 是 包 装 质 量 是 怎 么 回 事 ？ 盖 子 裂 了 ， 还 掉 了 一 小 块 在 盒 子 里 ， 这 一 点 让 人 很 不 爽
15,物流速度快，但是包装质量是怎么回事？盖子裂了，还掉了一小块在盒子里，这一点让人很不爽,15.0,包装,_,负面,包装,物 流 速 度 快 ， 但 是 包 装 质 量 是 怎 么 回 事 ？ 盖 子 裂 了 ， 还 掉 了 一 小 块 在 盒 子 里 ， 这 一 点 让 人 很 不 爽
15,物流速度快，但是包装质量是怎么回事？盖子裂了，还掉了一小块在盒子里，这一点让人很不爽,15.0,盖子,_,负面,包装,物 流 速 度 快 ， 但 是 包 装 质 量 是 怎 么 回 事 ？ 盖 子 裂 了 ， 还 掉 了 一 小 块 在 盒 子 里 ， 这 一 点 让 人 很 不 爽
15,物流速度快，但是包装质量是怎么回事？盖子裂了，还掉了一小块在盒子里，这一点让人很不爽,15.0,_,很不爽,负面,整体,物 流 速 度 快 ， 但 是 包 装 质 量 是 怎 么 回 事 ？ 盖 子 裂 了 ， 还 掉 了 一 小 块 在 盒 子 里 ， 这 一 点 让 人 很 不 爽
16,感觉没以前的好用了,16.0,_,没以前的好用,负面,整体,感 觉 没 以 前 的 好 用 了
17,发货速度快，两天就到了，**买东西就是这样好，,17.0,发货速度,快,正面,物流,发 货 速 度 快 ， 两 天 就 到 了 ， * * 买 东 西 就 是 这 样 好 ，
18,物品收到，很喜欢，很好用,18.0,_,很喜欢,正面,整体,物 品 收 到 ， 很 喜 欢 ， 很 好 用
18,物品收到，很喜欢，很好用,18.0,_,很好用,正面,整体,物 品 收 到 ， 很 喜 欢 ， 很 好 用
19,很好，不错，支持**，给力，大赞一个，喜欢,19.0,_,很好,正面,整体,很 好 ， 不 错 ， 支 持 * * ， 给 力 ， 大 赞 一 个 ， 喜 欢
