ID,AspectTerms,Opinions,Polarities,Categories,Review
293,_,轻薄,0,使用体验,这 个 蛮 好 用 的 ， 轻 薄 也 不 油 腻 ， 看 起 来 也 蛮 自 然 的 。 不 过 要 选 对 水 乳 哦
1077,_,一点都不水润,1,使用体验,干 巴 巴 的 一 点 都 不 水 润 ， 面 贴 很 硬 也 不 好 使 ！ 下 次 还 是 买 水 密 码 的
700,_,很喜欢,0,整体,很 好 很 喜 欢
3151,_,很清爽,0,使用体验,试 用 了 一 下 ， 很 清 爽 不 油 腻 。
2386,_,没有介绍的那么遮盖红血丝,1,功效,没 有 介 绍 的 那 么 遮 盖 红 血 丝 ， 只 是 稍 微 有 点 提 亮 。
864,_,太棒了,0,整体,太 棒 了 ， 效 果 好
2071,_,很划算,0,价格,很 划 算 的 一 次 购 物 哦 ， 买 一 送 一 耶 ！ 下 次 还 来 你 们 家 买 ！
846,_,很好,0,整体,水 乳 我 一 直 在 用 ， 很 好 ， 非 常 满 意
1228,_,很满意,0,整体,给 妈 妈 买 的 ， 用 了 一 段 时 间 了 ， 妈 妈 说 还 不 错 ， 很 满 意 哦
339,塑封袋,_,1,包装,只 有 一 个 塑 封 袋 ， 也 没 有 盒 子 感 觉 好 假 好 假 。 真 心 觉 得 不 开 心
806,_,很不错,0,整体,质 量 很 不 错 ， 很 好 用 ， 希 望 大 家 ， 。 。 。 。 。 。
1472,_,有点干,1,使用体验,上 妆 效 果 ： 上 妆 效 果 很 好 ， 也 不 油 腻 ， 但 是 刚 开 始 的 时 候 是 有 点 干 ， 涂 完 之 后 会 好 一 些 持 久 情 况 ： 上 妆 后 很 持 久 ， 比 之 前 用 的 @ 持 久 多 了 ， 爱 上 了
201,_,一点也不紧绷,0,使用体验,洗 面 奶 收 到 ， 今 天 用 了 ， 洗 完 后 真 的 一 点 也 不 紧 绷 ， 超 值 了 ！
827,_,一片一片的,0,使用体验,里 面 总 共 三 个 ， 不 够 细 腻 ， 一 片 一 片 的 ， 打 脸 上 浮 粉 ，
3193,_,挺漂亮的,0,整体,还 可 以 ， 挺 漂 亮 的 ， 用 了 之 后 再 追 评
