id,Reviews,is_fake,change_type,original_review
1,很好，超值，好用,True,+删除,很好，超值，很好用
2,良好，遮暇功能差一些，总体还不错,True,+替换opinion,很好，遮暇功能差一些，总体还不错
3,包装太随便了，连个包装盒都没有，第一感觉很不好,False,+替换其他,包装太随便了，连个包装盒都没有，第一感觉很不好
4,宝贝收到了，产品非常的不好，简直就是垃圾，我都扔了。,True,+删除,宝贝收到了，产品非常的不好，简直就是个垃圾，我都扔了。
5,活动价很是划算，买一送一共60片才花八十五块，天天用都不心疼啊,False,+替换其他,活动价很是划算，买一送一共60片才花八十五块，天天用都不心疼啊
6,使用一段时间才来评价，淡淡的香味，喜欢！,False,+替换其他,使用一段时间才来评价，淡淡的香味，喜欢！
7,之前买过。用了还不错。继续回购,False,,之前买过。用了还不错。继续回购
8,很润相对好推开。总体还可以。,False,,很润相对好推开。总体还可以。
9,收到了，当天晚上就用了很不错哦，,False,,收到了，当天晚上就用了很不错哦，
10,做活动时买的，比较划算，也比较好用,False,,做活动时买的，比较划算，也比较好用
11,好用不油腻很清爽,False,,好用不油腻很清爽
12,气垫水润，还送了一个替换装，很值,False,+替换其他,气垫水润，还送了一个替换装，很值
13,一直在**买东西，质量值得信赖物流还快，以后还会继续关注的。,False,,一直在**买东西，质量值得信赖物流还快，以后还会继续关注的。
14,很好的，以前用别的品牌这个品牌以前用的日霜不错这也应该不错。,True,+删除,很好的，以前用别的品牌这个品牌以前用的日霜不错这个也应该不错。
15,上妆效果：容易上妆，个人情况：油性皮肤，持久情况：下午好像有点出油，整体描述：还不错，适合肤质：油性肤质,False,,上妆效果：容易上妆，个人情况：油性皮肤，持久情况：下午好像有点出油，整体描述：还不错，适合肤质：油性肤质
16,快递员最好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！,True,+替换opinion,快递员很好，我当时没在家，给放到物业了，提醒我说，是一个小盒！用着也挺好用，自然真实！
17,一般般，还可以，价格不算贵！用起来一般般啦,False,,一般般，还可以，价格不算贵！用起来一般般啦
18,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！,False,+替换其他,一直在用，感觉还是不错，这次还有小礼品，谢谢啦！还有快递小哥，今天下了雪如期送达，感谢！
19,一直买在**买一个牌子的面膜，真的很补水，用完还来,False,,一直买在**买一个牌子的面膜，真的很补水，用完还来
20,宝贝收到非常喜欢,False,,宝贝收到非常喜欢
21,还不错，物流很快，用了再追评使用感受,False,+替换其他,还不错，物流很快，用了再追评使用感受
22,满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！拜?,True,+替换opinion,满满一箱，上百片面膜可以用很久了，发货收到的比下单的多！赞?
23,用着还可以主要按压比较方便不用倒出来那种,False,+替换其他,用着还可以主要按压比较方便不用倒出来那种
24,物流刚刚，商品好。持**。,True,+替换opinion+删除,物流很快，商品好。支持**。
25,太好用了，味道也很好闻，大爱！,True,+替换aspect,太好用了，味道也很好闻，大爱！
26,和实店买的一样，还送有一个面膜，用了优惠券，太合适了,True,+替换其他+删除,和实体店买的一样，还送有一个面膜，用了优惠券，太合适了
